Date,SPY,^VIX
1996-01-02,37.979820251464844,12.1899995803833
1996-01-03,38.08488845825195,12.100000381469727
1996-01-04,37.721981048583984,13.779999732971191
1996-01-05,37.64558410644531,13.579999923706055
1996-01-08,37.788822174072266,13.109999656677246
1996-01-09,37.139427185058594,15.210000038146973
1996-01-10,36.65239334106445,16.399999618530273
1996-01-11,36.87204360961914,14.6899995803833
1996-01-12,36.81471633911133,14.229999542236328
1996-01-15,36.738346099853516,14.989999771118164
1996-01-16,37.187191009521484,14.09000015258789
1996-01-17,37.07259750366211,14.25
1996-01-18,37.19673538208008,13.579999923706055
1996-01-19,37.44501495361328,12.699999809265137
1996-01-22,37.45457077026367,13.34000015258789
1996-01-23,37.540531158447266,13.5600004196167
1996-01-24,37.846134185791016,12.539999961853027
1996-01-25,37.71242141723633,12.9399995803833
1996-01-26,38.037113189697266,12.0
1996-01-29,38.18992614746094,12.1899995803833
1996-01-30,38.51463317871094,12.420000076293945
1996-01-31,38.915714263916016,12.529999732971191
1996-02-01,39.058956146240234,12.649999618530273
1996-02-02,38.896629333496094,13.229999542236328
1996-02-05,39.211753845214844,13.460000038146973
1996-02-06,39.584197998046875,14.59000015258789
1996-02-07,39.813392639160156,14.109999656677246
1996-02-08,40.24313735961914,13.890000343322754
1996-02-09,40.233585357666016,14.630000114440918
1996-02-12,40.5391960144043,14.6899995803833
1996-02-13,40.4532585144043,14.9399995803833
1996-02-14,40.099891662597656,15.59000015258789
1996-02-15,39.85160446166992,16.1299991607666
1996-02-16,39.68927001953125,15.369999885559082
1996-02-20,39.297698974609375,16.799999237060547
1996-02-21,39.78476333618164,14.470000267028809
1996-02-22,40.4150390625,14.5600004196167
1996-02-23,40.30046081542969,14.779999732971191
1996-02-26,39.727447509765625,16.3799991607666
1996-02-27,39.60329818725586,16.6299991607666
1996-02-28,39.42185592651367,16.719999313354492
1996-02-29,39.03986358642578,17.040000915527344
1996-03-01,39.66059875488281,16.719999313354492
1996-03-04,39.889793395996094,16.670000076293945
1996-03-05,40.262237548828125,16.100000381469727
1996-03-06,39.90888977050781,16.559999465942383
1996-03-07,40.10942459106445,16.489999771118164
1996-03-08,38.81066131591797,20.700000762939453
1996-03-11,39.25951385498047,19.399999618530273
1996-03-12,38.953914642333984,19.09000015258789
1996-03-13,39.2213020324707,18.1299991607666
1996-03-14,39.393184661865234,16.93000030517578
1996-03-15,39.366729736328125,16.540000915527344
1996-03-18,40.1245002746582,17.309999465942383
1996-03-19,40.03818130493164,18.350000381469727
1996-03-20,39.99022674560547,18.65999984741211
1996-03-21,39.89430236816406,17.739999771118164
1996-03-22,39.999813079833984,17.049999237060547
1996-03-25,39.92308044433594,17.84000015258789
1996-03-26,40.11494827270508,17.799999237060547
1996-03-27,39.750431060791016,17.889999389648438
1996-03-28,39.903907775878906,18.15999984741211
1996-03-29,39.7120475769043,18.8799991607666
1996-04-01,40.1724967956543,17.899999618530273
1996-04-02,40.24922180175781,16.450000762939453
1996-04-03,40.24922180175781,16.329999923706055
1996-04-04,40.22045135498047,16.18000030517578
1996-04-08,39.5297966003418,18.719999313354492
1996-04-09,39.37631607055664,17.31999969482422
1996-04-10,38.67607498168945,20.219999313354492
1996-04-11,38.62812423706055,19.649999618530273
1996-04-12,39.11732864379883,17.3799991607666
1996-04-15,39.44345474243164,16.829999923706055
1996-04-16,39.558570861816406,16.450000762939453
