	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
c.macrofinunc12#c.dgs3moSq	-0.00144***	-0.00277***	-0.000388	-0.00154***	-0.00159***	-0.00227***	-0.000984	-0.00279***	-0.00153***	-0.00290***	-0.00184***	-0.00217***	-0.00183***	-0.00281***
	(0.000369)	(0.000358)	(0.000536)	(0.000535)	(0.000399)	(0.000358)	(0.000607)	(0.000546)	(0.000313)	(0.000255)	(0.000473)	(0.000499)	(0.000285)	(0.000279)
c.macrofinunc12#c.eh10Sq	0.00246**	0.00164*	-0.00118	-0.00104	-0.000554	-0.000245	0.00271	0.00528***	0.00157*	0.00371***	0.00221*	-0.000226	0.00257***	0.00340***
	(0.000980)	(0.000971)	(0.00146)	(0.00152)	(0.00114)	(0.00105)	(0.00174)	(0.00160)	(0.000849)	(0.000751)	(0.00130)	(0.00138)	(0.000777)	(0.000815)
c.macrofinunc12#c.tp10Sq	0.00745***	0.00450***	0.00860***	0.00548***	0.00342***	0.00333***	0.00899***	0.00334*	0.00610***	0.00292***	0.00769***	0.00973***	0.00591***	0.00414***
	(0.00117)	(0.00122)	(0.00175)	(0.00180)	(0.00127)	(0.00117)	(0.00190)	(0.00188)	(0.00106)	(0.000958)	(0.00151)	(0.00151)	(0.00117)	(0.00109)
L.matgap	-0.00344	0.00969**	0.0515***	0.0409***	0.0281***	0.0102***	-0.0168*	-0.00288	0.00883*	0.00643**	0.0269***	0.0107***	0.0106***	0.00612***
	(0.00499)	(0.00424)	(0.0171)	(0.0157)	(0.00540)	(0.00379)	(0.00938)	(0.00676)	(0.00481)	(0.00270)	(0.00498)	(0.00364)	(0.00396)	(0.00233)
L.othassetshare	-0.167	0.167	-0.0852	0.259	-0.0214	0.245	-0.885***	-0.559***	-0.633***	-0.122	-0.299	-0.293	-0.650***	-0.198**
	(0.188)	(0.160)	(0.192)	(0.168)	(0.172)	(0.160)	(0.193)	(0.167)	(0.115)	(0.100)	(0.194)	(0.187)	(0.112)	(0.0976)
L.othliabshare	-0.155	0.0745	0.391	-0.145	0.145	-0.205	-1.989**	-3.177***	-0.866***	-0.857***	0.269	-0.413	-1.190***	-1.207***
	(0.234)	(0.242)	(0.698)	(0.696)	(0.259)	(0.250)	(0.812)	(0.768)	(0.275)	(0.274)	(0.291)	(0.279)	(0.295)	(0.290)
