	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
										
	(1.524)	(1.155)	(1.209)	(1.073)	(0.709)	(0.602)	(1.714)	(1.288)	(0.632)	(0.521)
L.lnassets	0.461*	0.151	0.899*	0.602	0.626***	0.301***	0.212	-0.204	0.321***	0.203**
	(0.273)	(0.198)	(0.528)	(0.411)	(0.132)	(0.110)	(0.220)	(0.132)	(0.102)	(0.0867)
1L.madummy	-3.950**	-4.792***	27.23*	8.335	-5.678	-6.427	-2.000	0.505	-9.539***	-14.89***
	(1.769)	(1.632)	(16.15)	(9.212)	(4.230)	(4.476)	(1.684)	(1.505)	(2.964)	(3.270)
c.dgs3mo#cL.othassetshare	0.801	-0.167	-0.316	-0.333	-0.427*	-0.162	1.704**	0.806	-0.0518	-0.124
	(0.627)	(0.596)	(0.388)	(0.352)	(0.241)	(0.242)	(0.746)	(0.671)	(0.234)	(0.231)
c.dgs3mo#cL.othliabshare	4.031***	1.624*	-4.073**	-2.330	1.232*	0.767	4.936***	3.947***	2.164***	0.667
	(0.990)	(0.891)	(1.956)	(1.645)	(0.715)	(0.698)	(0.968)	(0.897)	(0.657)	(0.686)
c.dgs3mo#cL.demanddepshare	-0.753***	-0.276	-0.580*	-0.292	-0.737***	-0.218*	0.649**	0.682***	-0.626***	-0.222*
	(0.252)	(0.208)	(0.322)	(0.290)	(0.141)	(0.131)	(0.311)	(0.260)	(0.131)	(0.120)
c.dgs3mo#cL.savingdepshare	-0.355	-0.106	-0.206	-0.267	0.00651	0.164	0.0297	0.0531	-0.197	-0.0136
	(0.248)	(0.223)	(0.381)	(0.338)	(0.148)	(0.145)	(0.301)	(0.248)	(0.126)	(0.124)
c.dgs3mo#cL.loanshare	0.750**	0.141	0.304	0.312	0.157	0.401***	2.556***	1.625***	0.308**	0.232*
	(0.334)	(0.285)	(0.287)	(0.272)	(0.160)	(0.151)	(0.424)	(0.364)	(0.144)	(0.132)
c.dgs3mo#cL.lnassets	-0.152**	-0.0802*	-0.241*	-0.247**	-0.206***	-0.104***	0.103*	0.0468	-0.113***	-0.0859***
	(0.0611)	(0.0484)	(0.127)	(0.104)	(0.0305)	(0.0276)	(0.0526)	(0.0374)	(0.0230)	(0.0217)
1L.madummy#c.dgs3mo	1.221***	1.396***	-5.081	-0.935	1.760*	2.494**	0.475	-0.0305	2.648***	4.277***
	(0.438)	(0.411)	(3.865)	(2.201)	(0.961)	(1.064)	(0.399)	(0.350)	(0.713)	(0.828)
c.eh10#cL.othassetshare	0.844	-0.501	-0.478	-0.421	-0.636*	-0.164	2.587**	0.868	-0.0321	-0.0487
	(1.011)	(0.964)	(0.625)	(0.564)	(0.383)	(0.382)	(1.182)	(1.079)	(0.377)	(0.369)
c.eh10#cL.othliabshare	5.951***	2.287*	-5.836*	-3.470	1.771*	1.136	7.171***	5.478***	3.179***	0.996
	(1.489)	(1.341)	(2.997)	(2.537)	(1.070)	(1.051)	(1.458)	(1.351)	(0.985)	(1.041)
c.eh10#cL.demanddepshare	-0.846**	-0.331	-0.678	-0.281	-0.930***	-0.113	1.191**	1.172***	-0.754***	-0.118
	(0.391)	(0.317)	(0.482)	(0.441)	(0.211)	(0.194)	(0.471)	(0.382)	(0.194)	(0.177)
c.eh10#cL.savingdepshare	-0.511	-0.185	-0.110	-0.232	0.00590	0.249	-0.0108	0.0579	-0.287	-0.0298
	(0.364)	(0.325)	(0.577)	(0.511)	(0.220)	(0.214)	(0.455)	(0.364)	(0.188)	(0.183)
c.eh10#cL.loanshare	1.216**	0.332	0.517	0.559	0.288	0.727***	3.655***	2.224***	0.499**	0.448**
	(0.515)	(0.433)	(0.430)	(0.412)	(0.241)	(0.228)	(0.655)	(0.547)	(0.217)	(0.198)
c.eh10#cL.lnassets	-0.202**	-0.0968	-0.363*	-0.293*	-0.296***	-0.134***	0.161**	0.0940*	-0.158***	-0.106***
	(0.0900)	(0.0719)	(0.196)	(0.159)	(0.0441)	(0.0399)	(0.0803)	(0.0545)	(0.0350)	(0.0334)
1L.madummy#c.eh10	1.623**	2.051***	-13.10*	-3.884	3.025*	3.401*	0.660	-0.448	3.993***	6.244***
	(0.717)	(0.680)	(7.596)	(3.966)	(1.625)	(1.757)	(0.626)	(0.567)	(1.251)	(1.403)
dloggdp	-1.232***	-1.369***	0.0987	-0.107	-0.939***	-0.878***	-0.940***	-1.059***	-1.004***	-0.957***
	(0.357)	(0.336)	(0.333)	(0.317)	(0.192)	(0.185)	(0.313)	(0.314)	(0.181)	(0.180)
unempgap	0.00155	-0.0150**	0.000698	-0.0116*	-0.00304	-0.0144***	-0.0192**	-0.00973	-0.00318	-0.0112***
	(0.00886)	(0.00724)	(0.00811)	(0.00656)	(0.00396)	(0.00340)	(0.00803)	(0.00698)	(0.00439)	(0.00386)
dlogdef	-0.398	0.437	1.962***	1.471**	0.940**	-0.206	2.537***	1.681**	0.566*	0.176
	(0.849)	(0.667)	(0.755)	(0.644)	(0.376)	(0.317)	(0.873)	(0.732)	(0.341)	(0.289)
dhi	-0.342*	-0.138	-0.825***	-0.929***	-0.543***	-0.422***	0.396**	-0.285	-0.417***	-0.363***
	(0.176)	(0.135)	(0.161)	(0.131)	(0.0787)	(0.0702)	(0.192)	(0.173)	(0.0763)	(0.0683)
vix	0.000564	0.00131*	-0.000242	0.000497	-0.000375	0.00118***	-0.000611	0.00134*	0.000201	0.000836**
	(0.000734)	(0.000713)	(0.000758)	(0.000741)	(0.000409)	(0.000432)	(0.000755)	(0.000760)	(0.000377)	(0.000374)
dlogspy	0.245***	0.263***	0.177***	0.195***	0.220***	0.214***	0.0553	0.207***	0.230***	0.215***
	(0.0449)	(0.0458)	(0.0452)	(0.0419)	(0.0253)	(0.0268)	(0.0508)	(0.0527)	(0.0241)	(0.0255)
bbb10spr	0.0230*	0.0132	0.0160	-0.00734	0.0115*	-0.00490	-0.0287*	-0.0120	0.0110*	0.00213
	(0.0118)	(0.0113)	(0.0116)	(0.0112)	(0.00652)	(0.00672)	(0.0150)	(0.0138)	(0.00598)	(0.00593)
Constant		-1.772		-7.813*		-3.362***		7.288***		-2.641***
		(2.542)		(4.196)		(1.290)		(1.993)		(1.024)
										
Observations	69,499	71,131	67,650	70,351	297,194	306,285	57,020	58,027	354,214	364,312
Number of rssd9001	1,168	1,179	1,347	1,379	4,260	4,273	1,640	1,650	4,320	4,333
Standard errors in parentheses										
*** p<0.01, ** p<0.05, * p<0.1										
