	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample	DGMM: Full sample	SGMM: Full sample
																
tp10Sq	-0.000127***	-0.000144***	-2.36e-05	-3.18e-05	-7.21e-06	-4.00e-05	-6.42e-05	-5.02e-05	-5.22e-05*	-6.53e-05**	-0.000348***	-0.000348***	-9.08e-05***	-9.35e-05***	-9.08e-05***	-9.35e-05***
	(4.62e-05)	(3.95e-05)	(8.82e-05)	(7.23e-05)	(6.21e-05)	(5.30e-05)	(7.44e-05)	(6.16e-05)	(2.99e-05)	(2.70e-05)	(6.29e-05)	(6.26e-05)	(2.69e-05)	(2.35e-05)	(2.69e-05)	(2.35e-05)
c.macrofinunc12#c.dgs3mo	0.000169	0.000411***	0.000840***	0.000590**	-0.000246	0.000102	-0.000154	0.000274	5.48e-05	0.000333***	0.000524**	0.00103***	1.38e-05	0.000291***	1.38e-05	0.000291***
	(0.000169)	(0.000156)	(0.000268)	(0.000257)	(0.000202)	(0.000199)	(0.000224)	(0.000195)	(0.000102)	(9.97e-05)	(0.000222)	(0.000205)	(9.83e-05)	(9.07e-05)	(9.83e-05)	(9.07e-05)
c.macrofinunc12#c.eh10	0.000393	0.000630**	0.00184***	0.00130***	-0.000178	-6.95e-05	-7.58e-05	0.000771**	0.000373*	0.000829***	0.000274	0.000889**	0.000244	0.000656***	0.000244	0.000656***
	(0.000289)	(0.000273)	(0.000540)	(0.000471)	(0.000359)	(0.000338)	(0.000389)	(0.000355)	(0.000191)	(0.000182)	(0.000384)	(0.000389)	(0.000167)	(0.000165)	(0.000167)	(0.000165)
c.macrofinunc12#c.tp10	-0.000225	-0.000379**	-0.000978***	-0.000661**	0.000143	-9.63e-05	7.73e-05	-0.000386**	-0.000160	-0.000399***	-0.000511**	-0.000945***	-0.000116	-0.000336***	-0.000116	-0.000336***
	(0.000168)	(0.000156)	(0.000284)	(0.000259)	(0.000211)	(0.000198)	(0.000218)	(0.000194)	(0.000103)	(0.000100)	(0.000225)	(0.000212)	(9.73e-05)	(9.10e-05)	(9.73e-05)	(9.10e-05)
c.macrofinunc12#c.dgs3moSq	1.66e-05*	-6.69e-06	3.79e-05*	2.03e-05	2.99e-05**	-1.19e-05	3.58e-05**	2.91e-05**	3.45e-05***	2.47e-05***	-3.60e-05**	-6.31e-05***	3.21e-05***	1.72e-05***	3.21e-05***	1.72e-05***
	(9.93e-06)	(7.04e-06)	(1.94e-05)	(1.28e-05)	(1.21e-05)	(9.58e-06)	(1.71e-05)	(1.17e-05)	(7.01e-06)	(4.83e-06)	(1.79e-05)	(1.54e-05)	(6.88e-06)	(4.45e-06)	(6.88e-06)	(4.45e-06)
c.macrofinunc12#c.eh10Sq	8.25e-07	1.04e-05	-6.60e-05	-4.19e-05	-1.31e-05	7.15e-05**	2.23e-05	-2.56e-05	-1.62e-05	-3.08e-05**	0.000185***	0.000202***	-4.69e-06	-1.21e-05	-4.69e-06	-1.21e-05
	(2.44e-05)	(2.05e-05)	(5.40e-05)	(3.94e-05)	(3.40e-05)	(2.83e-05)	(4.28e-05)	(3.19e-05)	(1.81e-05)	(1.35e-05)	(4.63e-05)	(4.24e-05)	(1.71e-05)	(1.30e-05)	(1.71e-05)	(1.30e-05)
c.macrofinunc12#c.tp10Sq	-3.05e-05	-5.48e-05*	-0.000142**	-0.000202***	-0.000102**	-0.000192***	-0.000125**	-0.000138***	-0.000121***	-0.000184***	-0.000330***	-0.000369***	-0.000106***	-0.000185***	-0.000106***	-0.000185***
	(3.49e-05)	(3.04e-05)	(6.01e-05)	(4.81e-05)	(4.43e-05)	(4.19e-05)	(5.60e-05)	(4.36e-05)	(2.46e-05)	(2.21e-05)	(5.34e-05)	(4.55e-05)	(2.35e-05)	(1.98e-05)	(2.35e-05)	(1.98e-05)
L.matgap	9.78e-05	5.83e-05	-0.00176***	-0.00117**	-0.000212	-0.000133	-0.000212	8.39e-05	-0.000432***	-0.000175***	-0.000197	-2.21e-05	-0.000432***	-0.000138***	-0.000432***	-0.000138***
	(0.000125)	(0.000111)	(0.000570)	(0.000495)	(0.000155)	(0.000107)	(0.000215)	(0.000120)	(9.22e-05)	(5.19e-05)	(0.000121)	(9.02e-05)	(8.23e-05)	(4.56e-05)	(8.23e-05)	(4.56e-05)
L.othassetshare	0.00755*	-0.000355	-0.0109	-0.0126**	-0.00437	-0.00325	0.00728	-0.00160	-0.00137	-0.00259	-0.00527	-0.00719	-0.000654	-0.00226	-0.000654	-0.00226
	(0.00416)	(0.00357)	(0.00723)	(0.00618)	(0.00611)	(0.00552)	(0.00451)	(0.00354)	(0.00244)	(0.00194)	(0.00543)	(0.00472)	(0.00241)	(0.00186)	(0.00241)	(0.00186)
L.othliabshare	-0.0122*	-0.00155	-0.0240	-0.00624	0.00433	0.00513	-0.0178	-0.0369**	-0.00815	-0.00312	-0.0219***	-0.00741	-0.0160***	-0.00788*	-0.0160***	-0.00788*
	(0.00688)	(0.00584)	(0.0228)	(0.0203)	(0.00866)	(0.00756)	(0.0171)	(0.0160)	(0.00555)	(0.00525)	(0.00781)	(0.00734)	(0.00500)	(0.00446)	(0.00500)	(0.00446)
L.demanddepshare	0.00137	-0.000259	-0.00178	-0.00247	0.00505**	0.00116	0.000799	-5.66e-05	-0.00204*	-0.00361***	0.00721***	0.00337**	-3.63e-05	-0.00295***	-3.63e-05	-0.00295***
	(0.00193)	(0.00153)	(0.00413)	(0.00281)	(0.00206)	(0.00169)	(0.00279)	(0.00228)	(0.00121)	(0.000878)	(0.00194)	(0.00158)	(0.00110)	(0.000765)	(0.00110)	(0.000765)
L.savingdepshare	0.00247	0.00351*	-0.00834*	-0.00357	0.00412*	0.00187	-0.00363	-0.00720**	0.000587	-0.00113	0.00720***	0.00376**	0.000746	-0.00122	0.000746	-0.00122
	(0.00225)	(0.00186)	(0.00430)	(0.00339)	(0.00213)	(0.00158)	(0.00384)	(0.00279)	(0.00137)	(0.00105)	(0.00189)	(0.00149)	(0.00110)	(0.000882)	(0.00110)	(0.000882)
L.loanshare	0.00439**	0.00199	-0.00750	-0.0103**	-0.000802	-0.000507	0.000849	0.000447	-0.000418	-5.04e-05	0.00141	0.00142	-0.000343	-0.000233	-0.000343	-0.000233
	(0.00222)	(0.00170)	(0.00624)	(0.00486)	(0.00320)	(0.00243)	(0.00307)	(0.00222)	(0.00139)	(0.00126)	(0.00285)	(0.00216)	(0.00126)	(0.00109)	(0.00126)	(0.00109)
L.lnassets	-0.000869*	-0.000641**	-0.00135**	1.82e-05	-0.00141**	-0.00133***	-0.00218	-0.00271***	-0.000636**	-0.000305	-0.00200***	-0.000681***	-0.000590***	-0.000314*	-0.000590***	-0.000314*
	(0.000459)	(0.000274)	(0.000624)	(0.000402)	(0.000711)	(0.000464)	(0.00142)	(0.000833)	(0.000268)	(0.000209)	(0.000447)	(0.000242)	(0.000222)	(0.000170)	(0.000222)	(0.000170)
1L.madummy	0.0197***	0.0187***	0.00582	0.0247***	0.00616*	0.00897**	0.00785	0.0137	0.0145*	0.0263***	0.00588*	0.00976***	0.0210***	0.0270***	0.0210***	0.0270***
	(0.00551)	(0.00612)	(0.00990)	(0.00942)	(0.00342)	(0.00396)	(0.0399)	(0.0455)	(0.00813)	(0.00784)	(0.00344)	(0.00337)	(0.00697)	(0.00753)	(0.00697)	(0.00753)
c.dgs3mo#cL.matgap	-1.40e-05	-1.62e-05	0.000438***	0.000332**	5.60e-06	-4.41e-07	-2.34e-06	-3.40e-05	5.83e-05***	2.83e-05**	-3.45e-05	-3.43e-05	5.19e-05***	1.73e-05	5.19e-05***	1.73e-05
	(3.00e-05)	(2.72e-05)	(0.000153)	(0.000132)	(3.16e-05)	(2.65e-05)	(4.15e-05)	(3.11e-05)	(1.77e-05)	(1.33e-05)	(2.70e-05)	(2.51e-05)	(1.62e-05)	(1.18e-05)	(1.62e-05)	(1.18e-05)
c.dgs3mo#cL.othassetshare	-0.00105	5.17e-05	0.00399**	0.00347**	0.00196	0.00164	-0.000827	0.000646	0.00116**	0.00108**	0.00270*	0.00285**	0.00113*	0.000995**	0.00113*	0.000995**
	(0.00103)	(0.000920)	(0.00185)	(0.00161)	(0.00159)	(0.00147)	(0.00108)	(0.000951)	(0.000580)	(0.000519)	(0.00146)	(0.00143)	(0.000580)	(0.000499)	(0.000580)	(0.000499)
c.dgs3mo#cL.othliabshare	0.00281*	0.000614	0.00521	0.00203	-0.000828	-0.000863	0.00412	0.00882**	0.00205	0.000989	0.00494***	0.00207	0.00386***	0.00215**	0.00386***	0.00215**
	(0.00162)	(0.00136)	(0.00540)	(0.00485)	(0.00208)	(0.00182)	(0.00397)	(0.00368)	(0.00130)	(0.00123)	(0.00191)	(0.00180)	(0.00117)	(0.00104)	(0.00117)	(0.00104)
c.dgs3mo#cL.demanddepshare	-0.000889*	1.55e-05	0.000362	0.000769	-0.00116**	-6.13e-05	-4.66e-05	-0.000118	0.000557*	0.000936***	-0.00147***	-0.000805*	9.91e-06	0.000779***	9.91e-06	0.000779***
	(0.000477)	(0.000405)	(0.00106)	(0.000763)	(0.000519)	(0.000446)	(0.000664)	(0.000586)	(0.000298)	(0.000232)	(0.000540)	(0.000463)	(0.000279)	(0.000208)	(0.000279)	(0.000208)
c.dgs3mo#cL.savingdepshare	-0.00130**	-0.00104**	0.000306	0.000891	-0.000971*	-0.000143	0.000145	0.00150**	-0.000442	0.000155	-0.00145***	-0.000769*	-0.000484*	0.000268	-0.000484*	0.000268
	(0.000567)	(0.000483)	(0.00101)	(0.000918)	(0.000527)	(0.000405)	(0.000876)	(0.000705)	(0.000295)	(0.000260)	(0.000530)	(0.000418)	(0.000257)	(0.000222)	(0.000257)	(0.000222)
c.dgs3mo#cL.loanshare	0.000219	0.000402	0.00359**	0.00373***	0.00193***	0.00164***	0.00111	0.000790	0.00131***	0.00105***	0.000818	0.000459	0.00142***	0.00112***	0.00142***	0.00112***
