	(1)	(2)	(3)	(4)
dlogdef	-0.00373***	-0.00130***	-0.00383***	-0.000496
	(0.000520)	(0.000462)	(0.000374)	(0.000399)
dhi	0.000170	-0.000121	0.000618***	0.000425***
	(0.000103)	(7.74e-05)	(7.56e-05)	(7.29e-05)
vix	4.76e-06***	1.88e-06***	5.76e-06***	2.46e-06***
	(5.22e-07)	(4.26e-07)	(4.89e-07)	(4.33e-07)
dlogspy	3.47e-05	9.30e-05***	0.000129***	8.50e-05***
	(3.59e-05)	(2.47e-05)	(3.11e-05)	(2.49e-05)
bbb10spr	4.08e-05***	5.81e-05***	3.94e-05***	4.59e-05***
	(8.74e-06)	(6.39e-06)	(7.58e-06)	(6.36e-06)
Constant			0.0112***	0.00695***
			(0.00132)	(0.000910)
				
Observations	346,389	346,389	357,622	357,622
Number of rssd9001	4,310	4,310	4,323	4,323
Standard errors in parentheses				
*** p<0.01, ** p<0.05, * p<0.1				
