	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)
VARIABLES	DGMM: MatGap >= P90	SGMM: MatGap >= P90	DGMM: MatGap <= P10	SGMM: MatGap <= P10	DGMM: AssetSize >= P90	SGMM: AssetSize >= P90	DGMM: AssetSize <= P10	SGMM: AssetSize <= P10	DGMM: Derivative use	SGMM: Derivative use	DGMM: No Derivative use	SGMM: No Derivative use	DGMM: Full sample	SGMM: Full sample
														
c.macrofinunc12#c.dgs3mo	-0.000126	-0.000185	0.000183	0.000139	-0.000598**	-0.000597***	1.00e-05	-8.96e-06	-0.000101	-1.57e-05	2.36e-05	-0.000277	-0.000140	-0.000219**
	(0.000177)	(0.000156)	(0.000296)	(0.000275)	(0.000259)	(0.000224)	(0.000295)	(0.000268)	(0.000126)	(0.000113)	(0.000233)	(0.000198)	(0.000119)	(0.000108)
c.macrofinunc12#c.eh10	-0.000395	-0.000510*	-0.000207	-0.000156	-0.00199***	-0.00196***	-0.000327	-0.000162	-0.000559**	-0.000293	-0.000439	-0.000803**	-0.000744***	-0.000827***
	(0.000360)	(0.000295)	(0.000579)	(0.000519)	(0.000538)	(0.000435)	(0.000575)	(0.000513)	(0.000254)	(0.000215)	(0.000468)	(0.000396)	(0.000233)	(0.000203)
c.macrofinunc12#c.tp10	0.000151	0.000249	-8.83e-05	-4.13e-05	0.000754***	0.000747***	0.000125	7.47e-05	0.000213	9.58e-05	2.96e-05	0.000350*	0.000276**	0.000347***
	(0.000196)	(0.000164)	(0.000315)	(0.000287)	(0.000276)	(0.000231)	(0.000315)	(0.000283)	(0.000137)	(0.000119)	(0.000245)	(0.000205)	(0.000126)	(0.000111)
c.macrofinunc12#c.dgs3moSq	-1.73e-05	-1.80e-05**	-2.63e-05	-1.94e-05	-6.85e-05***	-6.56e-05***	-2.68e-05	-1.09e-05	-2.78e-05***	-1.83e-05***	-3.13e-05*	-2.36e-05	-3.70e-05***	-3.21e-05***
	(1.11e-05)	(7.75e-06)	(1.90e-05)	(1.48e-05)	(1.45e-05)	(1.11e-05)	(1.63e-05)	(1.32e-05)	(7.66e-06)	(5.39e-06)	(1.78e-05)	(1.53e-05)	(6.83e-06)	(5.06e-06)
c.macrofinunc12#c.eh10Sq	1.61e-05	2.11e-05	0.000121**	0.000101**	0.000193***	0.000193***	8.05e-05	4.35e-05	7.90e-05***	5.66e-05***	8.52e-05*	5.33e-05	9.65e-05***	8.69e-05***
	(3.11e-05)	(2.36e-05)	(5.14e-05)	(4.16e-05)	(4.68e-05)	(3.69e-05)	(5.04e-05)	(4.26e-05)	(2.04e-05)	(1.54e-05)	(5.00e-05)	(4.31e-05)	(1.88e-05)	(1.52e-05)
c.macrofinunc12#c.tp10Sq	9.31e-05**	7.83e-05**	7.07e-05	4.32e-05	0.000202***	0.000196***	-5.47e-05	-2.51e-05	6.24e-05**	5.91e-05**	0.000144**	0.000215***	7.85e-05***	7.77e-05***
	(3.91e-05)	(3.28e-05)	(6.57e-05)	(5.47e-05)	(5.67e-05)	(4.79e-05)	(5.94e-05)	(5.20e-05)	(2.85e-05)	(2.41e-05)	(5.63e-05)	(4.90e-05)	(2.61e-05)	(2.28e-05)
L.matgap	-0.000203	-0.000143	0.000616	0.000474	-0.000101	0.000136	-0.000162	-1.15e-05	0.000245**	9.48e-05	5.17e-05	2.04e-05	0.000270***	0.000156***
	(0.000133)	(0.000102)	(0.000482)	(0.000416)	(0.000182)	(0.000112)	(0.000259)	(0.000200)	(0.000112)	(7.09e-05)	(0.000148)	(9.68e-05)	(9.61e-05)	(5.97e-05)
L.othassetshare	0.00886*	0.00548	0.0228**	0.0163**	0.00871	0.00825	0.00658	0.00199	0.00365	0.000915	0.0197***	0.00860*	0.00831**	0.00325
	(0.00533)	(0.00428)	(0.00963)	(0.00765)	(0.00753)	(0.00600)	(0.00683)	(0.00423)	(0.00343)	(0.00275)	(0.00673)	(0.00470)	(0.00324)	(0.00254)
L.othliabshare	0.00139	-0.00546	-0.00333	-0.0126	-0.0155*	-0.0144*	-0.0264	-0.0114	-0.0213***	-0.0206***	-0.00125	-0.00403	-0.0256***	-0.0263***
	(0.00689)	(0.00577)	(0.0210)	(0.0181)	(0.00873)	(0.00776)	(0.0214)	(0.0179)	(0.00636)	(0.00521)	(0.00951)	(0.00830)	(0.00605)	(0.00529)
L.demanddepshare	0.00329	0.00395**	-0.000243	0.00302	-0.00608**	-0.00316*	0.00339	0.00481	0.00149	0.00310**	-0.00411*	0.000877	0.000205	0.00235**
	(0.00229)	(0.00158)	(0.00399)	(0.00330)	(0.00265)	(0.00190)	(0.00507)	(0.00362)	(0.00165)	(0.00127)	(0.00221)	(0.00166)	(0.00141)	(0.00105)
L.savingdepshare	0.00427	0.00499**	-0.00162	-0.00155	0.000841	0.00135	-0.00194	-0.000475	0.00113	0.00184	0.00328	0.00365**	0.00333**	0.00293**
	(0.00266)	(0.00198)	(0.00436)	(0.00331)	(0.00275)	(0.00199)	(0.00496)	(0.00353)	(0.00181)	(0.00135)	(0.00241)	(0.00183)	(0.00154)	(0.00117)
L.loanshare	0.00855***	0.00874***	0.0274***	0.0195***	0.0120***	0.00866***	0.0120***	0.00586*	0.0115***	0.00773***	0.0115***	0.00835***	0.0137***	0.00940***
	(0.00270)	(0.00169)	(0.00869)	(0.00626)	(0.00432)	(0.00286)	(0.00458)	(0.00330)	(0.00221)	(0.00159)	(0.00403)	(0.00287)	(0.00210)	(0.00144)
L.lnassets	0.000272	5.28e-06	0.000245	6.50e-05	-0.000429	-0.00116**	0.00232	-0.000170	-0.000174	-0.000232	-0.000295	-0.000460	-0.000490*	-0.000373*
