Date,THREEFF0100.B,THREEFF0200.B,THREEFF0300.B,THREEFF0400.B,THREEFF0500.B,THREEFF0600.B,THREEFF0700.B,THREEFF0800.B,THREEFF0900.B,THREEFF1000.B,THREEFFTP0100.B,THREEFFTP0200.B,THREEFFTP0300.B,THREEFFTP0400.B,THREEFFTP0500.B,THREEFFTP0600.B,THREEFFTP0700.B,THREEFFTP0800.B,THREEFFTP0900.B,THREEFFTP1000.B,THREEFY0100.B,THREEFY0200.B,THREEFY0300.B,THREEFY0400.B,THREEFY0500.B,THREEFY0600.B,THREEFY0700.B,THREEFY0800.B,THREEFY0900.B,THREEFY1000.B,THREEFYTP0100.B,THREEFYTP0200.B,THREEFYTP0300.B,THREEFYTP0400.B,THREEFYTP0500.B,THREEFYTP0600.B,THREEFYTP0700.B,THREEFYTP0800.B,THREEFYTP0900.B,THREEFYTP1000.B
7 03 2011,0.633700013,1.735700011,2.79640007,3.654900074,4.312900066,4.814400196,5.204100132,5.516900063,5.776800156,5.999800205,0.1347,0.223100007,0.4287,0.700600028,0.983200014,1.247599959,1.484200001,1.693699956,1.879600048,2.046200037,0.281599998,0.727100015,1.244799972,1.744500041,2.1954,2.592000008,2.93840003,3.24180007,3.509399891,3.747600079,0.0942,0.131799996,0.193700001,0.285699993,0.397100002,0.517199993,0.638800025,0.757799983,0.872300029,0.98150003
8 03 2011,0.650300026,1.763599992,2.83039999,3.691999912,4.351399899,4.853300095,5.242899895,5.5552001,5.814499855,6.036699772,0.144500002,0.238499999,0.447699994,0.722000003,1.006399989,1.271999955,1.509600043,1.719599962,1.906000018,2.072999954,0.289200008,0.742299974,1.265400052,1.768900037,2.222500086,2.621000051,2.968800068,3.273200035,3.541599989,3.780299902,0.099699996,0.141000003,0.205599993,0.299699992,0.412800014,0.534200013,0.656899989,0.776899993,0.892199993,1.002099991
9 03 2011,0.614300013,1.715499997,2.778899908,3.640399933,4.300899982,4.804200172,5.195099831,5.508699894,5.769199848,5.992599964,0.129199997,0.215399995,0.4208,0.693400025,0.976700008,1.241700053,1.478800058,1.688500047,1.874600053,2.041300058,0.267199993,0.709699988,1.226899981,1.727100015,2.178800106,2.576299906,2.923599958,3.227799892,3.496099949,3.7348001,0.091200002,0.126900002,0.187800005,0.279399991,0.390700012,0.510800004,0.632499993,0.751699984,0.866299987,0.975600004
10 03 2011,0.547999978,1.623000026,2.677400112,3.536999941,4.198500156,4.703700066,5.097000122,5.412899971,5.675600052,5.901199818,0.098899998,0.169200003,0.366600007,0.634899974,0.915700018,1.17900002,1.414999962,1.623700023,1.809100032,1.975299954,0.229000002,0.649900019,1.154399991,1.646999955,2.094199896,2.488800049,2.834399939,3.137700081,3.405499935,3.644000053,0.074500002,0.098999999,0.1523,0.238600001,0.346100003,0.46329999,0.582799971,0.700100005,0.813199997,0.921299994
11 03 2011,0.543799996,1.617200017,2.671499968,3.531500101,4.193399906,4.698999882,5.09250021,5.408599854,5.671599865,5.897299767,0.096699998,0.165999994,0.363000005,0.631200016,0.912199974,1.175600052,1.411599994,1.620499969,1.805899978,1.972200036,0.227200001,0.646399975,1.150099993,1.642400026,2.089400053,2.483999968,2.829699993,3.1329,3.40079999,3.639400005,0.073299997,0.097000003,0.149800003,0.2359,0.343199998,0.460299999,0.579699993,0.697000027,0.810100019,0.918099999
14 03 2011,0.510200024,1.569000006,2.620699883,3.482000113,4.146100044,4.653900146,5.049300194,5.367000103,5.631299973,5.858099937,0.0792,0.139400005,0.332700014,0.599799991,0.880699992,1.144299984,1.380599976,1.589699984,1.775300026,1.941699982,0.212599993,0.617900014,1.114400029,1.603000045,2.048199892,2.441999912,2.78730011,3.090600014,3.358599901,3.597500086,0.063699998,0.080899999,0.129500002,0.212899998,0.318500012,0.434500009,0.55309999,0.6699,0.782599986,0.890299976
15 03 2011,0.506699979,1.552899957,2.595799923,3.451699972,4.112800121,4.618999958,5.013899803,5.331500053,5.596099854,5.823500156,0.071500003,0.126800001,0.316300005,0.58039999,0.859099984,1.121099949,1.35619998,1.564499974,1.749600053,1.915699959,0.216999993,0.61500001,1.105499983,1.589400053,2.030900002,2.421900034,2.765100002,3.066699982,3.333499908,3.571399927,0.059500001,0.073700003,0.119800001,0.201100007,0.305000007,0.419499993,0.536800027,0.65259999,0.764400005,0.871299982
16 03 2011,0.445800006,1.458400011,2.487499952,3.338500023,3.998699903,4.506100178,4.902800083,5.222700119,5.489600182,5.719299793,0.037799999,0.074900001,0.254500002,0.513000011,0.788200021,1.047999978,1.281599998,1.488800049,1.673099995,1.838700056,0.189099997,0.56099999,1.035400033,1.508999944,1.943799973,2.33039999,2.670599937,2.970299959,3.235800028,3.472899914,0.041000001,0.0425,0.079999998,0.155000001,0.254200011,0.365200013,0.479699999,0.593200028,0.703100026,0.808499992
17 03 2011,0.461400002,1.470600009,2.4927001,3.337599993,3.993499994,4.497900009,4.89289999,5.211900234,5.478300095,5.707900047,0.040899999,0.078599997,0.256599993,0.512799978,0.78579998,1.04369998,1.276000023,1.482200027,1.665799975,1.83099997,0.200499997,0.574000001,1.046900034,1.51820004,1.950500011,2.334899902,2.673199892,2.971199989,3.235399961,3.471400023,0.042599998,0.045200001,0.082699999,0.157399997,0.255800009,0.365999997,0.479699999,0.592400014,0.701600015,0.806500018
18 03 2011,0.492399991,1.50999999,2.530499935,3.371400118,4.023499966,4.525000095,4.91779995,5.235099792,5.500400066,5.729100227,0.0546,0.098999999,0.278800011,0.534500003,0.806400001,1.063300014,1.29460001,1.500200033,1.683400035,1.848199964,0.216199994,0.600199997,1.077399969,1.549999952,1.982300043,2.366100073,2.70359993,3.00090003,3.264300108,3.499599934,0.050099999,0.057700001,0.098300003,0.174500003,0.273799986,0.384299994,0.498100013,0.610800028,0.720000029,0.824699998
